,color,company,heat,ingredients,link,name,pour,site,smell,taste,taste_rating,taste_rating_max,heat_rating,heat_rating_max
0,,: The Smiling Itinerant LLC. ," The combination of all these chili peppers, including the ghost pepper, helps to give this an upper-medium level heat, as the ghost pepper helps to add a lingering heat build-up, while the other chilies strike at the start, giving you a nice tongue and mouth burn.  I would give it a 5.5/10 on heat.  ",": White Vinegar, Green Jalapenos, White Wine Vinegar, Smoked Hatch Chiles, Smoked Anaheim Chiles, Ghost Peppers, Sea Salt. ",https://www.instagram.com/p/BaKG_F9FD4G/,: The Late Colonel Jalapeno Hatch ,": A thick sauce which pours nicely out of the whisky bottle design, as there you can see small chunks are also in the sauce to give it some nice depth. ",:  www. thesmilingitinerant.com ,": A robust and smoky aroma, with floral notes in the background.  Initially you can smell the green jalapenos as they give off that tangy earthy aroma, but then its quickly shut down by the smoked hatch and Anaheim chilies which give off a bulk of the aroma, giving off a smoky and slightly sweet aroma, while the ghost pepper adds to that smokiness all the way in the background.  ",": I am not a huge fan of many green sauces, but holy cow… This blew me away.  This is a VERY smoky sauce, with an incredible savory flavor profile, and extremely pepper forward.  Right away you taste the incredible smoked hatch and Anaheim chilies, as you get those smoky, slightly sweet, bell pepperish, flavors of those chilies, while the green jalapenos add a layer of depth, giving off a tang, and earthiness, as the ghost peppers add to the smoke flavor and add some sweetness but really help in giving a nice lingering heat.  The salt helps to add more flavor, while the vinegar is moderately noticeable but is at a perfect balance to the flavor of the peppers.  If you like smoky, pepper-forward, earthy sauces, then this is perfect for you.  Easy 9.5/10 on flavor. ",9.5,10.0,5.5,10.0
1,,: Ski Bum Spices ," This sauce has red habaneros but has a quick hitting heat that dies off rather fast, as I would put this at a perfect medium for heat that most people will be able to enjoy.  I would give it a 4.5/10 on heat.  ",": Ceylon Cinnamon, Turmeric, Ginger, Black Pepper, Red Habanero Peppers, Vinegar, and Salt. ",https://www.instagram.com/p/BZ4XK67ld5A/,: The Healthy Hot Sauce: Cajun ,": A very runny and thin sauce, as there are absolutely no chunks, as you can just see the ingredients are all blended into a thin powder and mixed with the vinegar. ",: www.thehealthyhotsauce.com ,": As soon as your nostrils hit the bottle, you get hit with this strong aroma spice blend, as the cinnamon without a doubt hits you first, then you can start to smell the red habanero peppers as they give off that floral fruity vibe, but then the turmeric and ginger comes into play to help liven the sauce up, while you can get light hints of the black pepper and vinegar in the background. ",": Now, I must say, I didn’t have the highest expectations for flavor after noticing how thin the sauce was, and the ingredient list that followed, but believe it or not, this sauce is a great tasting Cajun sauce.  The four Anti-inflammatory ingredients, which are the cinnamon, turmeric, ginger, and black pepper work fantastically well with this sauce and combine well with the vinegar and habanero peppers.  This is a vinegary and tangy hot sauce with slight sweetness from the red habaneros, but initially you will get hit with the cinnamon and ginger upfront, but then the habanero strikes, and combines with the tangy vinegar, black pepper, and turmeric to give a simple and tasty sauce.  This would go great on all foods, especially beef and chicken, or mixed into a salad.  I would give this an easy 8.5/10 on flavor as its simple, yet unique for the fact that it’s an Anti-Inflammatory hot sauce that works, and tastes great if you enjoy vinegar based sauces. ",8.5,10.0,4.5,10.0
2,,: Pex Peppers LLC ," The heat starts as a quick hitting burn that creeps up and lingers for a while, as it will give you a numbing and stabbing burn that hits directly on the mid-palette, lips, and back of the throat.  This sauce is not for the faint of heart as it gets a strong 9.5/10 for heat.  ",": Red Moruga Scorpion Peppers, Vinegar, Wildflower Honey, Lime Juice ",https://www.instagram.com/p/BZ15nwLBVci/,: Killer Swarm ,": A thick sauce, but not chunky, as the evil deliciousness slowly pours out of the bottle, you can really tell that there are at least 60% Scorpion peppers in the bottle. ",: www.pexpeppers.com ,": A simple yet extremely deadly aroma, as you instantly get blasted with the vicious aroma of the Red Moruga Scorpion peppers as they give off that fruity sweet-heat and tender aroma, with slight hints of the wildflower honey in the background adding to the sweetness. ",": Instant HEAT but a beautiful Red Moruga Scorpion flavor that stings you instantly.  Right away as soon as the sauce hits your mouth, you taste this fresh, bright, fruity, and herbaceous flavor of the pepper as it completely coats your mouth, but then you get this slight tang of the lime juice and vinegar to help balance the flavor, as well as when you swallow the sauce you get a light sweetness from the wildflower honey.  This stuff is hot, but very delicious, and if you can handle the heat, it would be great as a table sauce and used on all foods that you typically add with hot sauce.  Strong pepper-forward sauce, but extremely tasty as it hits an 8.5/10 on flavor in my book. ",8.5,10.0,9.5,10.0
3,,,,,https://www.instagram.com/p/BZo6ztVl4BC/,,,,,,,,,
4,,: Hot Drama Hot Sauce ," This sauce is having a quick-hitting heat that lingers for a decent while, and mostly hits on the tongue, giving a nice sharp burn.  I would give this sauce a 5/10 on heat as it hits a perfect medium. ",": Bell Pepper, Onion, Blend of Spicy Peppers, Garlic, Vinegar, Canola Oil, Sugar, Sea Salt, Spices. ",https://www.instagram.com/p/BZmS85HF43l/,: Hot Drama Hot Sauce ,": A full-bodied pour as the sauce pours out of the bottle with ease, and has a medium chunkiness to the sauce. ",: www.hotdramasauces.com ,": Right away you get this extremely savory and pepper forward aroma as you instantly smell a strong scent of bell peppers mixed with onion and garlic which brings out this earthy bright and roast aroma, while in the middle ground you get this rich pepper combination of a bunch of peppers blended together which give off a sweet, smoky, and floral aroma all combined, and in the deep background you can pick up hints of vinegar and spices. ",": This sauce is very smooth and slightly tangy, with a huge emphasis on the onion and garlic.  Initially you get his with this punch of onion, which then slowly backs away as you taste this incredible blend of peppers, including bell peppers.  I am not sure what peppers are used but I do taste some type of habanero pepper which gives off a bright flavor, while some of the other peppers give a roast and savory flavor which combines well.  The garlic packs a punch right towards the end, and you can really get a good hit of garlic.  The vinegar is barely noticeable as it combines well with the oil to give off a nice smooth mouthfeel.  This sauce is a delicious table sauce which could be used for everything, especially if you are an onion and garlic lover.  I would give this sauce an 8/10 on flavor as its truly a great sauce that just needs a little bit more flavor to make it unique. ",8.0,10.0,5.0,10.0
5,,: Puckerbutt Pepper Co / Heatonist. ," Now in terms of heat, this stuff is HOT as the new Pepper X is crammed into this sauce, eating a whole tablespoon of this sauce would put me at K.O but doing a half tablespoon was a nice relaxing burn.  The pepper X heat hits INSTANTLY, builds up, and lingers for a very long time, especially on the roof of the mouth.  I would give this a 9/10 on heat.  ",": Pepper X Peppers, Distilled Vinegar, Ginger Root, Turmeric, Coriander, Cumin, Dry Mustard. ",https://www.instagram.com/p/BZW-8THFkvH/,: The Last Dab ,": A very thick sauce as you must smack it a little bit to get the sauce to come out, as this sauce has thick chunks of peppers. ",: www.heatonist.com ,": Just from the Aroma alone, you can instantly tell that this is going to be hot, as this sauce is jam packed with a good amount of Pepper X, the smell of the pepper is on the sweet citrus side, and almost has a similar smell to the Carolina reaper but with a bit more of a “Tropical” smell, in the far background you can pick up light hints of the turmeric, cumin and of course the dry mustard, but its smell is rather faint. ",": In terms of taste, this is an extremely pepper forward sauce, and it has a beautifully tasting super-hot, as pepper X has a sweet fruity flavor with light hints of some floral in the background especially when you swallow the sauce.  The pepper itself reminds me of a hotter version of a scorpion pepper and a scotch bonnet combined into a monster.  The vinegar is not noticeable at all which is a good thing.  The Ginger helps add a touch of flavor to the sauce along with the coriander.  The Turmeric and dry mustard flavor really helps give the sauce some body, and helps make this sauce taste unique.  This sauce would be a great table sauce and can be used on everything be especially dabbed on wings!  I would give this sauce an easy 10/10 on flavor as it’s a beautifully unique pepper dominate hot sauce. ",10.0,10.0,9.0,10.0
6,,: Seed Ranch Flavor Co. ," The only heat that comes from this sauce is from the green Thai chilies, as it gives you a nice immediate heat around the general mouth area and then quickly fades.  I would give this sauce a 3/10 on heat as it can be enjoyed by everyone.  ",": White Vinegar, Water, Lime Juice, Thai Ginger, Green Thai Chilies, Garlic, Cilantro, Shallots, Lemongrass, basil, salt, coconut flakes, coconut sugar, coriander, cumin, white pepper.",https://www.instagram.com/p/BZUN6R8lveA/,: Thai Green Hot Sauce ,": A thick sauce with a slight sense of chunkiness in the pour, but you can really see that this sauce is blended, stirred and simmered to perfection. ",: www.seedranchflavor.com ,": Instantly, this sauce has a beautiful gourmet aroma right out of the bottle.  You initially smell this beautiful combination of the Green Thai Chilies and Thai Ginger as they give off this robust aroma, but then it cuts back to the lime juice, lemongrass, and cilantro to give you this sweet and tangy aroma, while in the very back you can pick up the garlic, shallots, basil and cumin. ",": Now, let me just say that this sauce has a BEAUTIFUL flavor profile.  Right away you get blasted with this tangy sweetness from the lime juice, cilantro, lemongrass and ginger, as they start to coat your mouth in a multitude of ways, but then you get hit with the Green Thai chilies as they release that vegetal birds eye flavor profile that combines well with the multitude of gourmet ingredients in the sauce.  The coconut flakes are slightly noticeable when you swallow the sauce, along with the cumin and basil, which really help to end the flavor journey.  I have a feeling this sauce would be delicious on many dishes including marinated in chicken, mixed into soup, and with Asian cuisine.  My only complaint about the sauce is that it is far too powdery when it comes to the mouth feel.  I would give this sauce an 8.5/10 on flavor. ",8.5,10.0,3.0,10.0
7,,: Corine’s Cuisine.  ," This sauce contains bell peppers and serrano peppers as you will get a light mild burn on the back of your throat and tongue, that will quickly fade away.  I would give this a 2/10 on heat.  ",": Fish Sauce, Cilantro, Lime Juice, Bell Pepper, Serrano Pepper, Garlic, Sugar. ",https://www.instagram.com/p/BZCY4AElG6l/,: No.4 Spicy Nam-Pla Fresh Lime & Coriander Sauce ,": An easy and thin pour, but as you can see from the picture, there is these nice thin chunks of ingredients that swirl together with the fish sauce and lime juice, so you can actually see bits of the cilantro, peppers and garlic in the sauce. ",:www.corinescuisine.com ,": A unique smelling sauce, as you can get that standard Nam-Pla scent in the forefront, delivering that standard fishy and salty anchovy smell, but then you get hit hard with the bell peppers and serrano peppers as there is a strong middle ground of these earthy peppers exposing themselves in the sauce, while the cilantro helps to balance that flavor, along with the help of the garlic to give a savory aroma.  The lime juice shows up in the end to give a tang to the aroma. ",": Now let me start off by saying, I am not the biggest fan of fish sauce, but this is by far the BEST tasting Nam-Pla style sauce that I have ever tried.  Right away you get hit with the salty anchovy flavor of the Nam-Pla sauce, but then this delicious pepper combination strikes as the Serrano peppers, garlic, and bell peppers combine to give this delicious savory pepper forward flavor, while the cilantro and lime pop in to help compliment the sauce, and as you swallow the sauce you get blasted with the Nam-Pla again, with a touch of extra lime to finish it off.  This would be delicious on Thai style food or steak, or added to soup.  I would give this sauce a 10/10 on flavor because for the person out there who would like a spicy fish sauce, would absolutely go nuts over this sauce, as its truly a gourmet condiment. ",10.0,10.0,2.0,10.0
8,,: Lucky Dog Hot Sauce.  ," This sauce does give you a decently solid burn as you get hit with habanero peppers, serrano peppers, and ghost pepper sea salt to light up your mouth with a burst of different burns.  I would give this a 6.5/10 on heat.  ",": Distilled White Vinegar, Onions, Pears, Habanero Peppers, Garlic, Carrot Juice, Serrano Chile Peppers, Dates, Carrots, Water, Ghost Pepper Infused Sea Salt, Applewood Smoked Sea Salt, Lime Juice Concentrate. ",https://www.instagram.com/p/BYwm_nkFaNA/,: Pink Label: Applewood-Smoked Habanero Pepper Sauce ,": A thick consistency, it’s basically a more liquidous version of applesauce if it were a hot sauce, as it has the same kind of color as applesauce as well.  ",: https://lucky-dog-hot-sauce.myshopify.com ,": A very mild aroma, as you can pick up the onions, garlic and serrano peppers in the forefront, with the dates, pears, and habanero peppers following directly behind to give off a bit of sweetness.  The Applewood smoked sea salt shines in the middle ground as you can pick up light hints of the ghost pepper sea salt in the background giving off a smoky finish. ",": First off, the mouthfeel on this sauce is incredible, as it really coats your entire mouth with this thick delicious sauce.  At first you get this very subtle and light sweetness that shines from the habanero peppers as it gives off a bright citrus sweetness, while the pears and dates also help to compliment that natural fruity sweetness,  but then you get blasted with this huge savory burst of flavor as the Onions, Garlic, Carrots, and Serrano peppers cover your mouth with a burst of flavors, and then towards the end you get a light touch of ghost pepper, Applewood smoke and a touch of vinegar to bring a smooth and tasty finish.  This sauce would be delicious on eggs, BBQ, and breaded fish.  I would give this sauce an easy 9.5/10. ",9.5,10.0,6.5,10.0
9,,: Just Enough Heat LLC.  ," The heat of this parmiago cheese is from the ghost pepper flakes, which do shine in the mixture but is only a mild kick of the ghost pepper flakes.  An average person would go “yeah, that’s hot” but anyone who enjoys spice will find this to be a low medium heat.  I would give this a 4/10 on heat.  ",": Extra Virgin Olive Oil, Asiago Cheese, Parmesan Cheese, White Balsamic Vinegar, Garlic, Spices, Ghost Pepper Flakes, Koser Salt. ",https://www.instagram.com/p/BYgvkFblFY-/,: Ghost Parmiago Cheese ,": Cannot describe a pour because it comes out of a jar with a spoon, but you can see the big chunks of cheese, garlic, and spices all mixed into that olive oil and vinegar blend. ",: www.justenoughheat.com ,": The aroma is INCREDIBLE.  Instantly you get this sweet cheesy aroma from the Asiago and Parmesan cheese up in the forefrontbut then quickly after you can smell this very fruity olive oil that mixes with the garlic and spices to bring out a rich and bright flavor that mixes very well with the cheese, and all the way towards the back you can pick up notes of the smoky ghost pepper flakes which help round the aroma off. ",": This stuff is truly a delicious snack.  Especially if you are a fan of Asiago Cheese and Parmesan.  Instantly as the taste this delicious mix of flavors a bomb will go off in your mouth and unleash this very sweet olive oil flavor with slight hints of balsamic vinegar before being hit with this savory parmesan flavor which becomes replaced with the sharpness of the thick Asiago cheese, while in the background the garlic, spices, and ghost pepper work together to help round out the flavors and give an extra burst of flavor.  This would be phenomenal on top of pasta, or garlic bread, or even as a hamburger topper.  I would give this a solid 9/10 as my only complaint would be that I wish the flavors of the ghost pepper flakes shined a little bit more. ",9.0,10.0,4.0,10.0
