desc,mfc,names,price,url
"
A Mexican inspired blend of habanero and fresno chiles backed up with tamarind, cocoa, and mango.
Heat Level: Medium
Ingredients: White Vinegar, Peppers (habanero, fresno), Tomato, Mango, Tamarind Concentrate, Organic Sugar, Kosher Salt, Cocoa, Lemon Juice, Onion, Garlic, Cilantro, Cumin, Annatto Seed.
5 oz
",Arthur Wayne Hot Sauce, Spicy Mama Tamarind Hot Sauce    ,$ 7.99,https://heathotsauce.com/collections/all/products/spicy-mama-tamarind-hot-sauce
"
This unique spicy vinegar is made in the process of creating Hot Winter Hot Sauce. It's aromatic, briney and piquant.  A great addition to margaritas, spritzers, salad dressings, or for brining meats.  This version features the subtle natural smoky flavor of the Hot Winter pepper, but contains no actual smoked peppers. 
Heat Level: Mild
Ingredients: Organic Peppers, Kosher Salt, Organic Garlic.
5 oz 
",Hot Winter, Hot Winter Chile Vinegar - Smoky    ,$ 6.99,https://heathotsauce.com/collections/all/products/hot-winter-chile-vinegar-smoky
"
 This unique spicy vinegar is made in the process of creating Hot Winter Hot Sauce. It's aromatic, briney and piquant.  A great addition to margaritas, spritzers, salad dressings, or for brining meats.  This version features the subtle fruity notes of heirloom peppers.
Heat Level: Mild
Ingredients: Organic Peppers, Kosher Salt, Organic Garlic.
5 oz 
",Hot Winter, Hot Winter Chile Vinegar - Fruity    ,$ 6.99,https://heathotsauce.com/collections/all/products/hot-winter-chile-vinegar-fruity
"
 This unique spicy vinegar is made in the process of creating Hot Winter Hot Sauce. It's aromatic, briney and piquant.  A great addition to margaritas, spritzers, salad dressings, or for brining meats.  This version is the hottest of the Hot Winter spicy vinegars, but is still pretty mellow compared to most hot sauces.
Heat Level: Medium
Ingredients: Organic Peppers, Kosher Salt, Organic Garlic.
5 oz 
",Hot Winter, Hot Winter Chile Vinegar - Spicy    ,$ 6.99,https://heathotsauce.com/collections/all/products/hot-winter-chile-vinegar-spicy
"
A bright and vibrant blend of fresh fatalii peppers, plenty of garlic, and pure cane sugar, this sauce is a hotter, more citrusy twist on the classic Sriracha style.
Heat Level: Medium
Ingredients: Distilled Vinegar, Fatalii Peppers, Pure Cane Sugar, Minced Garlic (garlic, water, phosphoric acid), Granulated Garlic, Salt.
5 oz
",Parker's Gourmet, Fatalii-racha    ,$ 7.99,https://heathotsauce.com/collections/all/products/fatalii-racha
"
With over 16 scorpion peppers per bottle, this sauce has a slow evil build. 
Heat Level: Extra Hot
Ingredients: Trinidad Scorpion Peppers, Bhut Jolokia Peppers, Habanero Peppers, Carrots, Mandarin Oranges, Tomatoes, Distilled White Vinegar, Vegetable Oil, Garlic, Sugar, and other all-natural spices.
5 oz
",Torchbearer Sauces, The Rapture    ,$ 16.99,https://heathotsauce.com/collections/all/products/the-rapture
"
This sauce features the bold flavor of Roasted Pueblo Chiles (similar to New Mexico Green Chiles) along with fresh lime juice and roasted garlic.
Heat Level: Mild
5 oz
",PexPeppers, I'm So Chile    ,$ 6.99,https://heathotsauce.com/collections/all/products/im-so-chile
"
A fresh and flavorful Mexican-style sauce made with a blend of Ghost and Arbol chiles, tomatoes, carrots, ginger, and cilantro.
Heat Level: Extra Hot
Ingredients: Ghost Pepper, Arbol Chile, Tomato, Carrot, Ginger, Cilantro, Onions, Garlic, Salt, Water, Seasoning, Vinegar.
5.2 oz
",Chipotlan Hot Sauce, Don Chingon Ghost Pepper Sauce    ,$ 8.99,https://heathotsauce.com/collections/all/products/don-chingon-ghost-pepper-sauce
"
 This new creation from Hotmaple is a hotter, more maple-y sauce with a delicious Barrel Aged Bourbon flavor.  
Heat Level: Hot
Ingredients: Onion, Water, Apple Cider, Vinegar, Yellow Bell Peppers, Maple Syrup, Habanero, Garlic, Contains Less Than 2%: Cilantro, Bourbon Flavoring, Turmeric (for color) & Spices.
5 oz
",Hotmaple, Hotmaple Bourbon Habanero    ,$ 6.99,https://heathotsauce.com/collections/all/products/hotmaple-bourbon-habanero
"
Chilicali is a Indonesian-style Sambal made using garlic, shallots, lemongrass, and fresh red chilis. Perfect as a stir-in sauce for stir frys or as a marinade for meats and veggies.
Heat Level: Hot
Ingredients: ﻿Red Chili Pepper, Ginger, Shallots, Garlic, Salt, Black Pepper, Water, Grapeseed Oil, Kaffir Lime Leaves, Lemongrass, Citric Acid.
9.5 oz
",Chilicali, Chilicali Sambal    ,$ 9.99,https://heathotsauce.com/collections/all/products/chilicali-sambal
